ADL model	SCORM (Sharable Content Object Referenc Model)
Razvoj E-Ucenja	Programiranje
Repozitorij podataka	Careo
Repozitorij podataka	Cloe
Repozitorij podataka	Merlot
Repozitorij podataka	Educanext
Resurse	Obrazovni Sadržaj
Resurse	Vremenske Resurse Ucenja
Resurse	Jednostavni Oblici Nastavnog Sadržaja
Resurse	Ostali Oblici Nastavnog Sadržaja
RSS	Posebni Programi
RSS	Sažete obavijesti
RSS	Posebni programi
Rukovoditelj	Profil ucenika
Rukovoditelj	Plan tecaja
Sadržaj	cvrsto Odrecen Sadržaj
Sadržaj	Prakticni Sadržaj
Sadržaj	Fleksibilni Sadržaj
Sadržaj	Teorijski Sadržaj
Sadržajno spremište	Objekt ucenja
Sažete obavijesti	Web stranica
Sinkroni Nacin Isporuke Isporuke	Whiteboard
Sinkroni Nacin Isporuke Isporuke	Audio Ili Video Konferencija
Sinkroni Nacin Isporuke Isporuke	Virtualna Ucionica Ucionica
Sinkroni Nacin Isporuke Isporuke	Videokonferencija
Sinkroni Nacin Isporuke Isporuke	Audio Konferencija S Prezentacijskim Materijalima
Sinkroni Nacin Isporuke Isporuke	Prividna Ucionica
Sinkroni Nacin Isporuke Isporuke	On-Line Tekstualna Komunikacija
Sinkroni Nacin Isporuke Isporuke	Sudionika U Obrazovnom Sustavu
Sinkroni Nacin Isporuke Isporuke	Aktivnost Korisnika U Isto Vrijeme
Sinkroni Nacin Isporuke Isporuke	Nedostatak Sinkronog Nacina Isporuke E-Ucenja
Sinkroni Nacin Isporuke Isporuke	Prednost Sinkronog Nacina Isporuke E-Ucenja
Sinkroni Nacin Isporuke Isporuke	Na Unaprijed Dogovorenom Mjestu
Sinkroni Nacin Isporuke Isporuke	Po Unaprijed Dogovorenom Scenariju
Sinkroni Nacin Isporuke Isporuke	Interakciju
Sinkroni Nacin Isporuke Isporuke	Kolaboracija & Zajednica
Sinkroni Nacin Isporuke Isporuke	Ucionice Licem U Lice
Sinkroni Nacin Isporuke Isporuke	Uživo Na Internetu
Sinkroni Nacin Isporuke Isporuke	Poucavanje
Sinkrono  E-Ucenje	Chat
Sinkrono  E-Ucenje	Instant Messaging
Sinkrono  E-Ucenje	Realno Vrijeme
Sinkrono ucenje	Vrijeme
Sinkrono ucenje	Mjesto
Sistemska jedinica	Maticna ploca
Sistemska jedinica	Graficka kartica
Sistemska jedinica	Memorija
Sistemska jedinica	Procesor
Sistemska jedinica	Prikljucak
Skala Ocjenjivanja	Opisne Ocjene
Sklopovlje	Izlazna jedinica
Sklopovlje	Sistemska jedinica
Sklopovlje	Ulazna jedinica
Skup informacija	Osnovni sadržaj lekcije
Skup informacija	Razlicite nacine
Skup informacija	Razliciti primjeri
Slanje istovremenih poruka	Skype
Slanje istovremenih poruka	Google Talk
Spa	Resurse
Spremanje	Datoteka
Spremanje	Direktorij
Spremanje	LMS paketi
Spremanje	Web stranica
Spremanje	Oznake
Spremanje	Poveznica
Spremanje	Baza podataka
Spremišta Sadržaja I Katalozi Ponude	Alati Za Prikupljanje Sadržaja
Spremišta Sadržaja I Katalozi Ponude	Rukovoditelj Kataloga
Spremišta Sadržaja I Katalozi Ponude	Alati Za Oblikovanje Sadržaja
Strucnjak Podrucnog Znanja	Objekti Nastavnog Sadržaja
Strucnjak Podrucnog Znanja	Bazu Znanja
Strucnjak Podrucnog Znanja	Objekti Nastavnog Sadržaja
Sudionici U Obrazovnom Sustavu	Ucitelj
Sudionici U Obrazovnom Sustavu	Korisnici Aktivni U Isto Vrijeme
Sudionici U Obrazovnom Sustavu	Korisnici Aktivni U Razlicito Vrijeme
Sudionici U Obrazovnom Sustavu	Ucenik
Sudionike/Akteri	Goste
Sudionike/Akteri	Ucenike
Sudionike/Akteri	Administratore
Sudionike/Akteri	Ucitelj
Suradnja	Forum
Suradnja	Radionica
Suradnja	Blog
Suradnja	Društvene mreže
Suradnja	Wiki
Sustav za isporuku sadržaja	Pristup komponentarnim okruženjima sustava za e-ucenje
Sustav za isporuku sadržaja	Pristup nastavnom sadržaju
Sustav Za Upravljanje E-Ucenjem	Asinkroni Sustav E-Ucenja
Sustav Za Upravljanje E-Ucenjem	Sinkroni Sustav E-Ucenja
Sustav Za Upravljanje E-Ucenjem	Aplikacija
Sustav Za Upravljanje E-Ucenjem	Komponente
Sustav za upravljanje sadržajem (CMS)	Ponovno upotrebljivi objekt ucenja (RLO)
Sustav za upravljanje sadržajem ucenja ( LCMS )	Sustav za upravljanje sadržajem (CMS)
Sustav za upravljanje sadržajem ucenja ( LCMS )	Sustav za upravljanje ucenjem (LMS)
Sustav za upravljanje sadržajem ucenja ( LCMS )	Sadržajno spremište
Sustav za upravljanje sadržajem ucenja ( LCMS )	Alat
Sustav za upravljanje sadržajem ucenja ( LCMS )	Autorki alat
Sustav za upravljanje sadržajem ucenja ( LCMS )	Sustav za isporuku sadržaja
Sustav za upravljanje sadržajem ucenja ( LCMS )	Rukovoditelj
Sustavi E-Ucenja	Resurse
Sustavi Za Razmjenu Elektronske Pošte	Korištenje Kolaboracijskih Servisa
Sustavi Za Razmjenu Elektronske Pošte	Sinkronizacija
tehnologija	tehnološka infrastruktura
Tehnologije Za Isporuku Nastavnih Sadržaja	Distance Learning Tehnologija
Tehnologije Za Isporuku Nastavnih Sadržaja	E-Ucenje
Tehnologije Za Isporuku Nastavnih Sadržaja	Mobile & Wireless Learning Tools
Tehnologije Za Isporuku Nastavnih Sadržaja	Multimedijska Tehnologija
Tehnologije Za Isporuku Nastavnih Sadržaja	Ucionica
tehnološka infrastruktura	tehnicka podrška
tehnološka infrastruktura	planiranje infrastrukture
tehnološka infrastruktura	programska podrška
Tekstualna Datoteka	Ime
Tekstualna Datoteka	Tekst
Tekstualna Datoteka	Sažetak
Temeljna funkcija racunala	Obrada podataka
Temeljna funkcija racunala	Prikaz podakata
Temeljna funkcija racunala	Unos podataka
Temeljna Funkcionalnost Sustava E-Ucenja	Administriranje Sudionika
Temeljna Funkcionalnost Sustava E-Ucenja	Poucavanje
Temeljna Funkcionalnost Sustava E-Ucenja	Testiranje
Temeljna Funkcionalnost Sustava E-Ucenja	Ucenje
Temeljna Funkcionalnost Sustava E-Ucenja	Vrednovanje Znanja
Temeljni Sudionik Sustava E-Ucenja	Administrator Sustava
Temeljni Sudionik Sustava E-Ucenja	Strucnjak Podrucnog Znanja
Temeljni Sudionik Sustava E-Ucenja	Ucenik
Temeljni Sudionik Sustava E-Ucenja	Ucitelj
Teoreticar	Hu
Teoreticar	Khan
Teoreticar	Lancester
Teoreticar	Tim Berners-Lee
Teorijski Sadržaj	Opce Znanje
Testiranje Znanja Ucenika	On-Line Kviz
Testiranje Znanja Ucenika	Tradicionalno Nacelo Ucenja
Tim Berners-Lee	Projekt WWW
Tradicionalna Nastavna Paradigma	Nacionalno Priznata Diploma
Tradicionalna Nastavna Paradigma	Ocjenjivanje
Tradicionalna Nastavna Paradigma	cvrsto Odrecen Sadržaj
Tradicionalna Nastavna Paradigma	Jednosmjerna Komunikacija
Tradicionalna Nastavna Paradigma	Nastavnik U Glavnoj Ulozi
Tradicionalna Nastavna Paradigma	Teorijski Sadržaj
Tradicionalna Nastavna Paradigma	Nastava
Tradicionalna Nastavna Paradigma	Pasivno Ucenje
Tradicionalna Nastavna Paradigma	Opce Obrazovanje
Tradicionalna Nastavna Paradigma	Zastarijelo Znanje
Tradicionalna Nastavna Paradigma	Opce Znanje
Tradicionalna Nastavna Paradigma	Pojedinacno Ucenje
Tradicionalna Nastavna Paradigma	Nastava U Ucionici
Tradicionalno Nacelo Ucenja	Administriranje Sudionika
Tradicionalno Nacelo Ucenja	Oblikovanje Nastavnih Sadržaja
Tradicionalno Nacelo Ucenja	Pospremanje Nastavnih Sadžaja
Tradicionalno Nacelo Ucenja	Testiranje Znanja Ucenika
Tradicionalno Nacelo Ucenja	Upravljanje
Tradicionalno Nacelo Ucenja	Vocenje Procesa Ucenja I Poucavanja
Tradicionalno Nacelo Ucenja	Vrednovanje Znanja Ucenika
Trajna memorija	USB Stick
Trajna memorija	DVD
Trajna memorija	CD
Trajna memorija	Pohrana podataka
Trajna memorija	Pohrana informacija
Ucenici	Osnovne vrste objekata
Ucenik	Profil
Ucenik	Nastavni Sadržaj
Ucenik	Komponente Sustava E-Ucenja
Ucenik	Resurse
Ucenik	Nova Napredna Nastavna Paradigma
Ucenik	Struktura I Pojedinosti Koje Je Ucitelj Oblikovao I Namijenio
Ucenik	Interaktivnu Komunikaciju
Ucenik	Pojedinacno Ucenje
Ucenik	Grupno Ucenje
Ucenik	Aktivno Ucenje
Ucenik	Pasivno Ucenje
Ucenje	Tekstualna Komunikacija
Ucenje	Okruženje Za Suradni Rad
Ucenje	Forum
Ucenje	Sinkroni Dogacaj
Ucenje	Interaktivno Ucenje
Ucenje	On-Line Ucenje
Ucenje	Aktivno Ucenje
Ucenje	Pojedinacno Ucenje
Ucenje	Grupno Ucenje
Ucenje	Pasivno Ucenje
Ucenje	Formalno Ucenje
Ucenje	Neformalno Ucenje
Ucenje	Tradicionalno Nacelo Ucenja
Ucenje	Ucenje u svako vrijeme
Ucenje	Ucenje na svakom mjestu
Ucenje	Scenarij ucenja koji istice individualnost
ucenje i poucavanje	analiza cilja
ucenje i poucavanje	analiza sadržaja
ucenje i poucavanje	analiza medija
Ucenje na daljinu	Ucenje u svako vrijeme
Ucenje na daljinu	Ucenje na svakom mjestu
Ucionica	Klasicna Ucionica
Ucionica	Virtualna Ucionica
Ucitelj	Resurse
Ucitelj	Komponente Sustava E-Ucenja
Ucitelj	Nastavni Sadržaj
Ucitelj	Nastavnik Kao Vodic
Ucitelj	Nastavnik U Glavnoj Ulozi
Ucitelj	Bazu Znanja
Ucitelj	Objekti Nastavnog Sadržaja
Ucitelj	Tradicionalna Nastavna Paradigma
Ucitelj	Objekti Nastavnog Sadržaja
Ucitelj	Strucnjak Za Razvoj Nastavnog Sadržaja
Ucitelj	Interaktivnu Komunikaciju
Ucitelj	Jednosmjerna Komunikacija
Ulazna jedinica	Miš
Ulazna jedinica	Tipkovnica
Ulazna jedinica	Ekran osjetljiv na dodir
Ulazna jedinica	Skener
Ulazna jedinica	Unos podataka
Upravljanje Blokovima	Blokovi
Upravljanje Grupama	Dodavanje Grupe
Upravljanje Kolegijem	Pregled Korisnika
Upravljanje Kolegijem	Upravljanje Grupama
Upravljanje Kolegijem	Pregled Izvješca O Kolegiju
Upravljanje Kolegijem	Lista Nastavnika
Upravljanje Kolegijem	Lista Polaznika
Urecivanje Kolegija I Nastavnog Plana	Rad S Kalendarom
Urecivanje Kolegija I Nastavnog Plana	Oblik Kolegija
Urecivanje Kolegija I Nastavnog Plana	Postavke Kolegija
USB Stick	Prijenos informacija
Usmjereno Obrazovanje	Znanje Prema Potrebi
Video Konferencija	Multimedijska Tehnologija
Video Konferencija	Realno Vrijeme
Video prikaz	Uspješnije obavljanje vježbi i postizanje boljih rezultata
Video Streaming	Apple Quick Time
Video Streaming	Microsoft Media Player
Video Streaming	Real Media Player
Video Streaming	"Streaming ""On Demand"""
Virtualna zajednica	Društveno web mjesto
Virtualna zajednica	Internet forum
Virtualna Ucionica	Webinar
Vježba na racunalu	Simulacije
Vježba na racunalu	Vježba pomocu CD-ROM-a
Vježba na racunalu	Vježba za domacu zadacu
Vježba pomocu CD-ROM-a	CD-ove sa audio sadržajem
Vježba pomocu CD-ROM-a	CD-ovi sa simulacijama aktivnosti
Vježba pomocu CD-ROM-a	CD-ove sa video sadržajem
Vježba pomocu CD-ROM-a	CD-ove sa tekstualnim sadržajem
Vocenje Procesa Ucenja I Poucavanja	U Elektronickom Okruženju
Vrednovanje Znanja	Tradicionalno Nacelo Ucenja
Web	Infrastrukturu Ucenja
Web aplikacije	Kompleksne aplikacije
Web aplikacije	Jednostavne aplikacije
Web Dokument	Html Editor
Web stranica	Obrazovni sadržaj
Webinar	Multimedijska Tehnologija
Webinar	Realno Vrijeme
What2Learn	Izradu Kvizova I Igara
Wiki	Wikipedija
Wiki	Modificiranje Sadržaja
Wiki	Obrazovno okruženje
Wiki	Jednostavna sintaksa
WWW	Lekcija
WWW	Sadržajnih Modula
Zadace I Provjere Znanja	Dodjela Zadaca
Zadace I Provjere Znanja	Testovi
Zadace I Provjere Znanja	Prikupljanje Zadaca
Znanje	Znanje Prema Potrebi
Znanje	Opce Znanje
Znanje	Znanje Prilagoceno Vremenu
Znanje	Zastarijelo Znanje
